"Team","W","L","PTS","PTSA","SRS","Season"
"Seattle SuperSonics",55,27,108.3,101.3,6.66,"1992-1993"
"Portland Trail Blazers",51,31,108.5,105.4,2.92,"1992-1993"
"Los Angeles Clippers",41,41,107.1,106.8,0.33,"1992-1993"
"Los Angeles Lakers",39,43,104.2,105.5,-1.2,"1992-1993"
"Golden State Warriors",34,48,109.9,110.9,-0.94,"1992-1993"
"Sacramento Kings",25,57,107.9,111.1,-3,"1992-1993"
"New York Knicks",57,25,98.5,91.5,6.48,"1993-1994"
"Orlando Magic",50,32,105.7,101.8,3.68,"1993-1994"
"New Jersey Nets",45,37,103.2,101,2.11,"1993-1994"
"Miami Heat",42,40,103.4,100.7,2.4,"1993-1994"
"Boston Celtics",32,50,100.8,105.1,-4.28,"1993-1994"
"Philadelphia 76ers",25,57,98,105.6,-7.37,"1993-1994"
"Washington Bullets",24,58,100.4,107.7,-7.13,"1993-1994"
"Atlanta Hawks",57,25,101.4,96.2,4.94,"1993-1994"
"Chicago Bulls",55,27,98,94.9,2.87,"1993-1994"
"Indiana Pacers",47,35,101,97.5,3.26,"1993-1994"
"Cleveland Cavaliers",47,35,101.2,97.1,3.64,"1993-1994"
"Charlotte Hornets",41,41,106.5,106.7,-0.23,"1993-1994"
"Milwaukee Bucks",20,62,96.9,103.4,-6.24,"1993-1994"
"Detroit Pistons",20,62,96.9,104.7,-7.46,"1993-1994"
"Houston Rockets",58,24,101.1,96.8,4.19,"1993-1994"
"San Antonio Spurs",55,27,100,94.8,5.05,"1993-1994"
"Utah Jazz",53,29,101.9,97.7,4.1,"1993-1994"
"Denver Nuggets",42,40,100.3,98.8,1.54,"1993-1994"
"Minnesota Timberwolves",20,62,96.7,103.6,-6.55,"1993-1994"
"Dallas Mavericks",13,69,95.1,103.8,-8.19,"1993-1994"
"Seattle SuperSonics",63,19,105.9,96.9,8.68,"1993-1994"
"Phoenix Suns",56,26,108.2,103.4,4.68,"1993-1994"
"Golden State Warriors",50,32,107.9,106.1,1.76,"1993-1994"
"Portland Trail Blazers",47,35,107.3,104.6,2.6,"1993-1994"
"Los Angeles Lakers",33,49,100.4,104.7,-3.93,"1993-1994"
"Sacramento Kings",28,54,101.1,106.9,-5.32,"1993-1994"
"Los Angeles Clippers",27,55,103,108.7,-5.28,"1993-1994"
"Orlando Magic",57,25,110.9,103.8,6.44,"1994-1995"
"New York Knicks",55,27,98.2,95.1,2.78,"1994-1995"
"Boston Celtics",35,47,102.8,104.7,-1.92,"1994-1995"
"Miami Heat",32,50,101.1,102.8,-1.85,"1994-1995"
"New Jersey Nets",30,52,98.1,101.2,-3.28,"1994-1995"
"Philadelphia 76ers",24,58,95.4,100.4,-5.06,"1994-1995"
"Washington Bullets",21,61,100.5,106.1,-5.56,"1994-1995"
"Indiana Pacers",52,30,99.2,95.5,3.35,"1994-1995"
"Charlotte Hornets",50,32,100.6,97.3,2.87,"1994-1995"
"Chicago Bulls",47,35,101.5,96.7,4.32,"1994-1995"
"Cleveland Cavaliers",43,39,90.5,89.8,0.55,"1994-1995"
"Atlanta Hawks",42,40,96.6,95.3,1.06,"1994-1995"
"Milwaukee Bucks",34,48,99.3,103.7,-4.3,"1994-1995"
"Detroit Pistons",28,54,98.2,105.5,-7.08,"1994-1995"
"San Antonio Spurs",62,20,106.6,100.6,5.9,"1994-1995"
"Utah Jazz",60,22,106.4,98.4,7.76,"1994-1995"
"Houston Rockets",47,35,103.5,101.4,2.32,"1994-1995"
"Denver Nuggets",41,41,101.3,100.5,0.96,"1994-1995"
"Dallas Mavericks",36,46,103.2,106.1,-2.39,"1994-1995"
"Minnesota Timberwolves",21,61,94.2,103.2,-8.22,"1994-1995"
"Phoenix Suns",59,23,110.6,106.8,3.86,"1994-1995"
"Seattle SuperSonics",57,25,110.4,102.2,7.91,"1994-1995"
"Los Angeles Lakers",48,34,105.1,105.3,-0.01,"1994-1995"
"Portland Trail Blazers",44,38,103.1,99.2,3.8,"1994-1995"
"Sacramento Kings",39,43,98.2,99.2,-0.74,"1994-1995"
"Golden State Warriors",26,56,105.7,111.1,-4.9,"1994-1995"
"Los Angeles Clippers",17,65,96.7,105.8,-8.43,"1994-1995"
"Orlando Magic",60,22,104.5,99,5.4,"1995-1996"
"New York Knicks",47,35,97.2,94.9,2.24,"1995-1996"
"Miami Heat",42,40,96.5,95,1.46,"1995-1996"
"Washington Bullets",39,43,102.5,101.5,0.99,"1995-1996"
"Boston Celtics",33,49,103.6,107,-3.37,"1995-1996"
"New Jersey Nets",30,52,93.7,97.9,-4.14,"1995-1996"
"Philadelphia 76ers",18,64,94.5,104.5,-9.45,"1995-1996"
"Chicago Bulls",72,10,105.2,92.9,11.8,"1995-1996"
"Indiana Pacers",52,30,99.3,96.1,3.11,"1995-1996"
"Cleveland Cavaliers",47,35,91.1,88.5,2.49,"1995-1996"
"Atlanta Hawks",46,36,98.3,97.1,1.29,"1995-1996"
"Detroit Pistons",46,36,95.4,92.9,2.45,"1995-1996"
"Charlotte Hornets",41,41,102.8,103.4,-0.48,"1995-1996"
"Milwaukee Bucks",25,57,95.6,100.9,-4.92,"1995-1996"
"Toronto Raptors",21,61,97.5,105,-7.2,"1995-1996"
"San Antonio Spurs",59,23,103.4,97.1,5.98,"1995-1996"
"Utah Jazz",55,27,102.5,95.9,6.25,"1995-1996"
"Houston Rockets",48,34,102.5,100.7,1.63,"1995-1996"
"Denver Nuggets",35,47,97.7,100.4,-2.62,"1995-1996"
"Minnesota Timberwolves",26,56,97.9,103.2,-5.14,"1995-1996"
"Dallas Mavericks",26,56,102.5,107.5,-4.71,"1995-1996"
"Vancouver Grizzlies",15,67,89.8,99.8,-9.55,"1995-1996"
"Seattle SuperSonics",64,18,104.5,96.7,7.4,"1995-1996"
"Los Angeles Lakers",53,29,102.9,98.5,4.21,"1995-1996"
"Portland Trail Blazers",44,38,99.3,97,2.21,"1995-1996"
"Phoenix Suns",41,41,104.3,104,0.28,"1995-1996"
"Sacramento Kings",39,43,99.5,102.3,-2.62,"1995-1996"
"Golden State Warriors",36,46,101.6,103.1,-1.42,"1995-1996"
"Los Angeles Clippers",29,53,99.4,103,-3.46,"1995-1996"
"Miami Heat",61,21,94.8,89.3,5.56,"1996-1997"
"New York Knicks",57,25,95.4,92.2,3.31,"1996-1997"
"Orlando Magic",45,37,94.1,94.5,-0.07,"1996-1997"
"Washington Bullets",44,38,99.4,97.7,1.77,"1996-1997"
"New Jersey Nets",26,56,97.2,101.8,-3.89,"1996-1997"
"Philadelphia 76ers",22,60,100.2,106.7,-5.89,"1996-1997"
"Boston Celtics",15,67,100.6,107.9,-6.62,"1996-1997"
"Chicago Bulls",69,13,103.1,92.3,10.7,"1996-1997"
"Atlanta Hawks",56,26,94.8,89.4,5.52,"1996-1997"
"Detroit Pistons",54,28,94.2,88.9,5.45,"1996-1997"
"Charlotte Hornets",54,28,98.9,97,2.13,"1996-1997"
"Cleveland Cavaliers",42,40,87.5,85.6,2.32,"1996-1997"
"Indiana Pacers",39,43,95.4,94.4,1.49,"1996-1997"
"Milwaukee Bucks",33,49,95.3,97.2,-1.38,"1996-1997"
"Toronto Raptors",30,52,95.5,98.6,-2.56,"1996-1997"
"Utah Jazz",64,18,103.1,94.3,7.97,"1996-1997"
"Houston Rockets",57,25,100.6,96.1,3.85,"1996-1997"
"Minnesota Timberwolves",40,42,96.1,97.6,-1.82,"1996-1997"
"Dallas Mavericks",24,58,90.6,97,-6.47,"1996-1997"
"Denver Nuggets",21,61,97.8,104.1,-6.4,"1996-1997"
"San Antonio Spurs",20,62,90.5,98.3,-7.93,"1996-1997"
"Vancouver Grizzlies",14,68,89.2,99.4,-10.17,"1996-1997"
"Seattle SuperSonics",57,25,100.9,93.2,6.91,"1996-1997"
"Los Angeles Lakers",56,26,100,95.7,3.66,"1996-1997"
"Portland Trail Blazers",49,33,99,94.8,3.56,"1996-1997"
"Phoenix Suns",40,42,102.8,102.2,0.21,"1996-1997"
"Los Angeles Clippers",36,46,97.2,99.5,-2.66,"1996-1997"
"Sacramento Kings",34,48,96.4,99.8,-3.64,"1996-1997"
"Golden State Warriors",30,52,99.6,104.4,-4.9,"1996-1997"
"Miami Heat",55,27,95,90,5.09,"1997-1998"
"New York Knicks",43,39,91.6,89.1,2.74,"1997-1998"
"New Jersey Nets",43,39,99.6,98.1,1.88,"1997-1998"
"Washington Wizards",42,40,97.2,96.6,1.11,"1997-1998"
"Orlando Magic",41,41,90.1,91.2,-0.53,"1997-1998"
"Boston Celtics",36,46,95.9,98.5,-1.96,"1997-1998"
"Philadelphia 76ers",31,51,93.3,95.7,-1.89,"1997-1998"
"Chicago Bulls",62,20,96.7,89.6,7.24,"1997-1998"
"Indiana Pacers",58,24,96,89.9,6.25,"1997-1998"
"Charlotte Hornets",51,31,96.6,94.6,2.45,"1997-1998"
"Atlanta Hawks",50,32,95.9,92.3,3.85,"1997-1998"
"Cleveland Cavaliers",47,35,92.5,89.8,3.06,"1997-1998"
"Detroit Pistons",37,45,94.2,92.6,1.95,"1997-1998"
"Milwaukee Bucks",36,46,94.5,96.4,-1.33,"1997-1998"
"Toronto Raptors",16,66,94.9,104.2,-8.33,"1997-1998"
"Utah Jazz",62,20,101,94.4,5.73,"1997-1998"
"San Antonio Spurs",56,26,92.5,88.5,3.3,"1997-1998"
"Minnesota Timberwolves",45,37,101.1,100.4,0.17,"1997-1998"
"Houston Rockets",41,41,98.8,99.5,-1.23,"1997-1998"
"Dallas Mavericks",20,62,91.4,97.5,-6.33,"1997-1998"
"Vancouver Grizzlies",19,63,96.6,103.9,-7.47,"1997-1998"
"Denver Nuggets",11,71,89,100.8,-11.74,"1997-1998"
"Seattle SuperSonics",61,21,100.6,93.4,6.33,"1997-1998"
"Los Angeles Lakers",61,21,105.5,97.8,6.88,"1997-1998"
"Phoenix Suns",56,26,99.6,94.4,4.44,"1997-1998"
"Portland Trail Blazers",46,36,94.3,92.9,0.83,"1997-1998"
"Sacramento Kings",27,55,93.1,98.7,-5.83,"1997-1998"
"Golden State Warriors",19,63,88.3,97.4,-9.2,"1997-1998"
"Los Angeles Clippers",17,65,95.9,103.3,-7.53,"1997-1998"
"Miami Heat",33,17,89,84,5.11,"1998-1999"
"Orlando Magic",33,17,89.5,86.9,3.11,"1998-1999"
"Philadelphia 76ers",28,22,89.7,87.6,2.56,"1998-1999"
"New York Knicks",27,23,86.4,85.4,1.45,"1998-1999"
"Boston Celtics",19,31,93,94.9,-1.75,"1998-1999"
"Washington Wizards",18,32,91.2,93.4,-1.75,"1998-1999"
"New Jersey Nets",16,34,91.4,95.2,-3.2,"1998-1999"
"Indiana Pacers",33,17,94.7,90.9,3.86,"1998-1999"
"Atlanta Hawks",31,19,86.3,83.4,2.82,"1998-1999"
"Detroit Pistons",29,21,90.4,86.9,3.97,"1998-1999"
"Milwaukee Bucks",28,22,91.7,90,1.66,"1998-1999"
"Charlotte Hornets",26,24,92.9,93,0.63,"1998-1999"
"Toronto Raptors",23,27,91.1,92.8,-1.32,"1998-1999"
"Cleveland Cavaliers",22,28,86.4,88.2,-0.94,"1998-1999"
"Chicago Bulls",13,37,81.9,91.4,-8.58,"1998-1999"
"San Antonio Spurs",37,13,92.8,84.7,7.12,"1998-1999"
"Utah Jazz",37,13,93.3,86.8,5.54,"1998-1999"
"Houston Rockets",31,19,94.2,91.9,1.39,"1998-1999"
"Minnesota Timberwolves",25,25,92.9,92.6,-0.17,"1998-1999"
"Dallas Mavericks",19,31,91.6,94,-2.5,"1998-1999"
"Denver Nuggets",14,36,93.5,100.1,-6.67,"1998-1999"
"Vancouver Grizzlies",8,42,88.9,97.5,-8.94,"1998-1999"
"Portland Trail Blazers",35,15,94.8,88.5,5.67,"1998-1999"
"Los Angeles Lakers",31,19,99,96,2.68,"1998-1999"
"Phoenix Suns",27,23,95.6,93.3,2.15,"1998-1999"
"Sacramento Kings",27,23,100.2,100.6,-0.89,"1998-1999"
"Seattle SuperSonics",25,25,94.9,95.9,-1.43,"1998-1999"
"Golden State Warriors",21,29,88.3,90.8,-2.63,"1998-1999"
"Los Angeles Clippers",9,41,90.4,99.2,-8.94,"1998-1999"
"Miami Heat",52,30,94.4,91.3,2.75,"1999-2000"
"New York Knicks",50,32,92.1,90.7,1.3,"1999-2000"
"Philadelphia 76ers",49,33,94.8,93.4,1.02,"1999-2000"
"Orlando Magic",41,41,100.1,99.4,0.43,"1999-2000"
"Boston Celtics",35,47,99.3,100.1,-1,"1999-2000"
"New Jersey Nets",31,51,98,99,-1.18,"1999-2000"
"Washington Wizards",29,53,96.6,99.9,-3.47,"1999-2000"
"Indiana Pacers",56,26,101.3,96.7,4.15,"1999-2000"
"Charlotte Hornets",49,33,98.4,95.8,2.33,"1999-2000"
"Toronto Raptors",45,37,97.2,97.3,-0.46,"1999-2000"
"Detroit Pistons",42,40,103.5,102,1.13,"1999-2000"
"Milwaukee Bucks",42,40,101.2,101,-0.06,"1999-2000"
"Cleveland Cavaliers",32,50,97,100.5,-3.64,"1999-2000"
"Atlanta Hawks",28,54,94.3,99.7,-5.41,"1999-2000"
"Chicago Bulls",17,65,84.8,94.2,-9.23,"1999-2000"
"Utah Jazz",55,27,96.5,92,4.52,"1999-2000"
"San Antonio Spurs",53,29,96.2,90.2,5.92,"1999-2000"
"Minnesota Timberwolves",50,32,98.5,96,2.67,"1999-2000"
"Dallas Mavericks",40,42,101.4,102,-0.29,"1999-2000"
"Denver Nuggets",35,47,99,101.1,-1.76,"1999-2000"
"Houston Rockets",34,48,99.5,100.3,-0.57,"1999-2000"
"Vancouver Grizzlies",22,60,93.9,99.5,-5.1,"1999-2000"
"Los Angeles Lakers",67,15,100.8,92.3,8.41,"1999-2000"
"Portland Trail Blazers",59,23,97.5,91,6.36,"1999-2000"
"Phoenix Suns",53,29,98.9,93.7,5.24,"1999-2000"
"Seattle SuperSonics",45,37,99.1,98.1,1.17,"1999-2000"
"Sacramento Kings",44,38,105,102,3.04,"1999-2000"
"Golden State Warriors",19,63,95.5,103.8,-7.63,"1999-2000"
"Los Angeles Clippers",15,67,92,103.5,-10.73,"1999-2000"
"Philadelphia 76ers",56,26,94.7,90.4,3.64,"2000-2001"
"Miami Heat",50,32,88.9,86.6,1.73,"2000-2001"
"New York Knicks",48,34,88.7,86.1,1.98,"2000-2001"
"Orlando Magic",43,39,97.5,96.5,0.39,"2000-2001"
"Boston Celtics",36,46,94.6,96.8,-2.4,"2000-2001"
"New Jersey Nets",26,56,92.1,97.1,-5.3,"2000-2001"
"Washington Wizards",19,63,93.2,99.9,-6.75,"2000-2001"
"Milwaukee Bucks",52,30,100.7,96.9,3.14,"2000-2001"
"Toronto Raptors",47,35,97.6,95.4,1.69,"2000-2001"
"Charlotte Hornets",46,36,91.9,89.8,1.45,"2000-2001"
"Indiana Pacers",41,41,92.6,92.8,-0.77,"2000-2001"
"Detroit Pistons",32,50,95.6,97.3,-2.08,"2000-2001"
"Cleveland Cavaliers",30,52,92.2,96.5,-4.48,"2000-2001"
"Atlanta Hawks",25,57,91,96.2,-5.55,"2000-2001"
"Chicago Bulls",15,67,87.6,96.7,-9.09,"2000-2001"
"San Antonio Spurs",58,24,96.2,88.4,7.92,"2000-2001"
"Utah Jazz",53,29,97.1,92.4,5,"2000-2001"
"Dallas Mavericks",53,29,100.5,96.2,4.61,"2000-2001"
"Minnesota Timberwolves",47,35,97.3,96,1.81,"2000-2001"
"Houston Rockets",45,37,97.2,94.9,2.71,"2000-2001"
"Denver Nuggets",40,42,96.6,99,-1.83,"2000-2001"
"Vancouver Grizzlies",23,59,91.7,97.5,-4.94,"2000-2001"
"Los Angeles Lakers",56,26,100.6,97.2,3.74,"2000-2001"
"Sacramento Kings",55,27,101.7,95.9,6.07,"2000-2001"
"Phoenix Suns",51,31,94,91.8,2.63,"2000-2001"
"Portland Trail Blazers",50,32,95.4,91.2,4.52,"2000-2001"
"Seattle SuperSonics",44,38,97.3,97.3,0.55,"2000-2001"
"Los Angeles Clippers",31,51,92.5,95.3,-2.23,"2000-2001"
"Golden State Warriors",17,65,92.5,101.5,-8.11,"2000-2001"
"New Jersey Nets",52,30,96.2,92,3.67,"2001-2002"
"Boston Celtics",49,33,96.4,94.1,1.75,"2001-2002"
"Orlando Magic",44,38,100.5,98.9,1.25,"2001-2002"
"Philadelphia 76ers",43,39,91,89.4,1.27,"2001-2002"
"Washington Wizards",37,45,92.8,94.2,-1.58,"2001-2002"
"Miami Heat",36,46,87.2,88.7,-1.84,"2001-2002"
"New York Knicks",30,52,91.6,95.6,-4.15,"2001-2002"
"Detroit Pistons",50,32,94.3,92.2,1.69,"2001-2002"
"Charlotte Hornets",44,38,93.9,92.9,0.57,"2001-2002"
"Toronto Raptors",42,40,91.4,91.8,-0.71,"2001-2002"
"Indiana Pacers",42,40,96.8,96.5,-0.07,"2001-2002"
"Milwaukee Bucks",41,41,97.5,97.7,-0.62,"2001-2002"
"Atlanta Hawks",33,49,94,98.3,-4.41,"2001-2002"
"Cleveland Cavaliers",29,53,95.3,98.6,-3.52,"2001-2002"
"Chicago Bulls",21,61,89.5,98,-8.52,"2001-2002"
"San Antonio Spurs",58,24,96.7,90.5,6.28,"2001-2002"
"Dallas Mavericks",57,25,105.2,101,4.41,"2001-2002"
"Minnesota Timberwolves",50,32,99.3,96,3.58,"2001-2002"
"Utah Jazz",44,38,96,95.1,1.21,"2001-2002"
"Houston Rockets",28,54,92.3,97.2,-4.31,"2001-2002"
"Denver Nuggets",27,55,92.2,98,-5.19,"2001-2002"
"Memphis Grizzlies",23,59,89.9,97.3,-6.74,"2001-2002"
"Sacramento Kings",61,21,104.6,97,7.61,"2001-2002"
"Los Angeles Lakers",58,24,101.3,94.1,7.15,"2001-2002"
"Portland Trail Blazers",49,33,96.6,93.7,3.21,"2001-2002"
"Seattle SuperSonics",45,37,97.7,94.7,3.24,"2001-2002"
"Los Angeles Clippers",39,43,95.7,96.1,-0.09,"2001-2002"
"Phoenix Suns",36,46,95.1,95.8,-0.3,"2001-2002"
"Golden State Warriors",21,61,97.7,103.1,-4.8,"2001-2002"
"New Jersey Nets",49,33,95.4,90.1,4.42,"2002-2003"
"Philadelphia 76ers",48,34,96.8,94.5,1.76,"2002-2003"
"Boston Celtics",44,38,92.7,93.1,-0.75,"2002-2003"
"Orlando Magic",42,40,98.5,98.4,-0.39,"2002-2003"
"Washington Wizards",37,45,91.5,92.5,-1.47,"2002-2003"
"New York Knicks",37,45,95.9,97.2,-1.61,"2002-2003"
"Miami Heat",25,57,85.6,90.6,-5.13,"2002-2003"
"Detroit Pistons",50,32,91.4,87.7,2.97,"2002-2003"
"Indiana Pacers",48,34,96.8,93.3,2.79,"2002-2003"
"New Orleans Hornets",47,35,93.9,91.8,1.52,"2002-2003"
"Milwaukee Bucks",42,40,99.5,99.3,-0.24,"2002-2003"
"Atlanta Hawks",35,47,94.1,97.6,-3.87,"2002-2003"
"Chicago Bulls",30,52,95,100.1,-5.31,"2002-2003"
"Toronto Raptors",24,58,90.9,96.8,-6.1,"2002-2003"
"Cleveland Cavaliers",17,65,91.4,101,-9.59,"2002-2003"
"San Antonio Spurs",60,22,95.8,90.4,5.65,"2002-2003"
"Dallas Mavericks",60,22,103,95.2,7.9,"2002-2003"
"Minnesota Timberwolves",51,31,98.1,96,2.46,"2002-2003"
"Utah Jazz",47,35,94.7,92.3,2.76,"2002-2003"
"Houston Rockets",43,39,93.8,92.3,1.89,"2002-2003"
"Memphis Grizzlies",28,54,97.5,100.7,-2.6,"2002-2003"
"Denver Nuggets",17,65,84.2,92.4,-7.41,"2002-2003"
"Sacramento Kings",59,23,101.7,95.2,6.68,"2002-2003"
"Los Angeles Lakers",50,32,100.4,98,2.71,"2002-2003"
"Portland Trail Blazers",50,32,95.2,92.5,2.97,"2002-2003"
"Phoenix Suns",44,38,95.5,94.4,1.57,"2002-2003"
"Seattle SuperSonics",40,42,92.1,92.3,0.37,"2002-2003"
"Golden State Warriors",38,44,102.4,103.6,-0.6,"2002-2003"
"Los Angeles Clippers",27,55,93.8,97.9,-3.45,"2002-2003"
"New Jersey Nets",47,35,90.3,87.8,1.88,"2003-2004"
"Miami Heat",42,40,90.3,89.7,-0.13,"2003-2004"
"New York Knicks",39,43,92,93.5,-1.97,"2003-2004"
"Boston Celtics",36,46,95.3,96.7,-1.99,"2003-2004"
"Philadelphia 76ers",33,49,88,90.5,-2.95,"2003-2004"
"Washington Wizards",25,57,91.8,97.4,-6.12,"2003-2004"
"Orlando Magic",21,61,94,101.1,-7.25,"2003-2004"
"Indiana Pacers",61,21,91.4,85.6,4.93,"2003-2004"
"Detroit Pistons",54,28,90.1,84.3,5.04,"2003-2004"
"New Orleans Hornets",41,41,91.8,91.9,-0.72,"2003-2004"
"Milwaukee Bucks",41,41,98,97,0.42,"2003-2004"
"Cleveland Cavaliers",35,47,92.9,95.5,-3.07,"2003-2004"
"Toronto Raptors",33,49,85.4,88.5,-3.42,"2003-2004"
"Atlanta Hawks",28,54,92.8,97.5,-5,"2003-2004"
"Chicago Bulls",23,59,89.7,96,-6.69,"2003-2004"
"Minnesota Timberwolves",58,24,94.5,89.1,5.86,"2003-2004"
"San Antonio Spurs",57,25,91.5,84.3,7.51,"2003-2004"
"Dallas Mavericks",52,30,105.2,100.8,4.86,"2003-2004"
"Memphis Grizzlies",50,32,96.7,94.3,2.95,"2003-2004"
"Houston Rockets",45,37,89.8,88,2.28,"2003-2004"
"Denver Nuggets",43,39,97.2,96.1,1.65,"2003-2004"
"Utah Jazz",42,40,88.7,89.9,-0.53,"2003-2004"
"Los Angeles Lakers",56,26,98.2,94.3,4.35,"2003-2004"
"Sacramento Kings",55,27,102.8,97.8,5.41,"2003-2004"
"Portland Trail Blazers",41,41,90.7,92,-0.58,"2003-2004"
"Golden State Warriors",37,45,93.3,94,-0.07,"2003-2004"
"Seattle SuperSonics",37,45,97.1,97.8,0.02,"2003-2004"
"Phoenix Suns",29,53,94.2,97.9,-2.94,"2003-2004"
"Los Angeles Clippers",28,54,94.8,99.4,-3.74,"2003-2004"
"Boston Celtics",45,37,101.3,100.4,0.35,"2004-2005"
"Philadelphia 76ers",43,39,99.1,99.9,-1.07,"2004-2005"
"New Jersey Nets",42,40,91.4,92.9,-1.82,"2004-2005"
"Toronto Raptors",33,49,99.7,101.4,-1.81,"2004-2005"
"New York Knicks",33,49,97.3,99.7,-2.72,"2004-2005"
"Detroit Pistons",54,28,93.3,89.5,3.31,"2004-2005"
"Chicago Bulls",47,35,94.5,93.4,0.65,"2004-2005"
"Indiana Pacers",44,38,93,92.2,0.49,"2004-2005"
"Cleveland Cavaliers",42,40,96.5,95.7,0.27,"2004-2005"
"Milwaukee Bucks",30,52,97.2,100.2,-3.09,"2004-2005"
"Miami Heat",59,23,101.5,95,5.77,"2004-2005"
"Washington Wizards",45,37,100.5,100.8,-0.71,"2004-2005"
"Orlando Magic",36,46,99.5,101.8,-2.52,"2004-2005"
"Charlotte Bobcats",18,64,94.3,100.2,-6.15,"2004-2005"
"Atlanta Hawks",13,69,92.7,102.5,-9.62,"2004-2005"
"Seattle SuperSonics",52,30,98.9,96.6,2.59,"2004-2005"
"Denver Nuggets",49,33,99.5,97.5,2.23,"2004-2005"
"Minnesota Timberwolves",44,38,96.8,95.3,1.73,"2004-2005"
"Portland Trail Blazers",27,55,92.9,96.9,-3.45,"2004-2005"
"Utah Jazz",26,56,93,97.3,-3.74,"2004-2005"
