"Player","Pos","Season","Tm","Exp","x","y"
"A.J. Hammons","C","2017-2018","MIA","1",-37.3080023035214,-3.81333069796265
"Aaron Brooks","G","2017-2018","MIN","9",-11.73336497984,20.801227243997
"Aaron Gordon","PF","2017-2018","ORL","3",-16.6802695414323,11.0146656208408
"Abdel Nader","SF","2017-2018","BOS","R",18.2656215948899,0.727101696273445
"Adreian Payne","F-C","2017-2018","ORL","3",25.6571065971559,-5.94608076388417
"Al Horford","C","2017-2018","BOS","10",-15.5818956429949,38.5525550110475
"Al Jefferson","C-F","2017-2018","IND","13",16.2285547883854,-31.1839354537905
"Al-Farouq Aminu","PF","2017-2018","POR","7",14.0685793261735,24.2633789579772
"Alan Williams","F-C","2017-2018","PHO","2",17.8822766038565,-27.5649903692268
"Alec Burks","SG","2017-2018","UTA","6",5.93355779010845,2.78441419758946
"Alec Peters","PF","2017-2018","PHO","R",7.88009490792852,-4.35651216747007
"Alex Abrines","SG","2017-2018","OKC","1",-1.36594616406713,11.6398847845942
"Alex Len","C","2017-2018","PHO","4",0.291613005357571,-19.3512332330534
"Alex Poythress","F","2017-2018","IND","1",10.7530384776355,-0.532621124704424
"Alexis Ajinca","C","2017-2018","NOP","7",17.3471740579155,-36.9921508827394
"Alfonzo McKinnie","SF","2017-2018","TOR","R",6.57428147950398,-17.7031433198571
"Allen Crabbe","SG","2017-2018","BRK","4",-7.84557767538848,11.6079079153908
"Amir Johnson","C","2017-2018","PHI","12",4.0552797138279,-28.5448534816287
"Andre Drummond","C","2017-2018","DET","5",-6.7141650810693,-17.8374734113735
"Andre Iguodala","G-F","2017-2018","GSW","13",28.290766825751,17.4126908054341
"Andre Roberson","SF","2017-2018","OKC","4",20.9536126174777,16.4185586060425
"Andrew Bogut","C","2017-2018","LAL","12",34.0777520024547,-33.190877289812
"Andrew Harrison","PG","2017-2018","MEM","1",-5.98755839068496,5.81190604727359
"Andrew Wiggins","SF","2017-2018","MIN","3",-29.2182519732671,-4.83860739890766
"Ante Zizic","F-C","2017-2018","CLE","R",29.3770253667252,-25.1862045354988
"Anthony Brown","F-G","2017-2018","MIN","2",30.2255795810568,5.10099127349837
"Anthony Davis","PF","2017-2018","NOP","5",-16.0696365646577,-8.75384509786617
"Anthony Tolliver","F-C","2017-2018","DET","9",17.2571444400159,27.2009997368956
"Antonio Blakeney","SG","2017-2018","CHI","R",4.53807807918557,-0.943100235228272
"Aron Baynes","C","2017-2018","BOS","5",18.739752236737,-32.3333731336304
"Arron Afflalo","G","2017-2018","ORL","10",-23.2044689527852,2.95713089467937
"Austin Rivers","SG","2017-2018","LAC","5",-2.77532528431643,8.75737583098467
"Avery Bradley","SG","2017-2018","DET","7",-11.1035048943835,8.27172474713347
"Bam Adebayo","C","2017-2018","MIA","R",31.3035506908043,-22.6186495622948
"Ben McLemore","G","2017-2018","MEM","4",-2.97333678383178,10.4818056688222
"Ben Simmons","PG","2017-2018","PHI","R",11.6426061046157,-21.9237256662928
"Bismack Biyombo","C","2017-2018","ORL","6",22.7120715602525,-39.1847171863718
"Blake Griffin","PF","2017-2018","LAC","7",-23.6466415208499,-1.70015131845551
"Boban Marjanovic","C","2017-2018","DET","2",29.5910084026281,-14.5213887327882
"Bobby Brown","G","2017-2018","HOU","3",-15.4676046381753,31.5115599359554
"Bobby Portis","F","2017-2018","CHI","2",-6.0410000978051,-20.3238340862926
"Bogdan Bogdanovic","G","2017-2018","SAC","R",-14.7573582330715,-37.1527032470609
"Bojan Bogdanovic","SF","2017-2018","IND","3",-22.7856898986679,11.0323359595796
"Bradley Beal","SG","2017-2018","WAS","5",-29.6184127276959,16.5669690937975
"Brandan Wright","PF","2017-2018","MEM","9",10.8112301351132,-35.1949720719913
"Brandon Ingram","SF","2017-2018","LAL","1",-14.1171980032324,12.5618231467605
"Brandon Knight","G","2017-2018","PHO","6",-12.2797063816411,2.76333789745207
"Brandon Paul","SG","2017-2018","SAS","R",1.91401940161805,-6.93650235671242
"Brice Johnson","F","2017-2018","LAC","1",-18.3057488048498,-16.3531054853932
"Brook Lopez","C","2017-2018","LAL","9",-35.2344322293427,-1.39979399438931
"Bruno Caboclo","F","2017-2018","TOR","3",30.925935118457,5.96828302745867
"Bryn Forbes","SG","2017-2018","SAS","1",13.6470076666676,3.40529363360383
"Buddy Hield","SG","2017-2018","SAC","1",-14.4744314135653,29.8611088261787
"C.J. McCollum","G","2017-2018","POR","4",-34.0936824184644,19.7814449927088
"C.J. Miles","SF","2017-2018","TOR","12",-10.072887506752,32.5591603006442
"C.J. Wilcox","G","2017-2018","POR","3",5.68193952449545,28.6030729610217
"C.J. Williams","G","2017-2018","LAC","R",7.5432130090916,-20.7261669357577
"Caleb Swanigan","PF","2017-2018","POR","R",7.45075433911017,9.76421265713019
"Cameron Payne","G","2017-2018","CHI","2",-15.7604308162328,19.5637252506537
"Caris LeVert","SF","2017-2018","BRK","1",20.3900623510173,18.9679151053758
"Carmelo Anthony","SF","2017-2018","OKC","14",-18.6627447261848,-7.91407065004796
"Carrick Felix","SG","2017-2018","WAS","1",-9.23287747578109,-2.00435710315148
"Cedi Osman","F","2017-2018","CLE","R",-15.7601849995708,-36.1715573034679
"Chandler Parsons","SF","2017-2018","MEM","6",5.47056612957473,20.9878126972289
"Channing Frye","C-F","2017-2018","CLE","11",-6.23056135373365,33.2897265857786
"Charles Cooke","G","2017-2018","NOP","R",3.95111196638019,-6.53291294752395
"Cheick Diallo","PF","2017-2018","NOP","1",29.1641675977571,-13.6692931039537
"Chinanu Onuaku","F-C","2017-2018","HOU","1",5.85893127120451,-37.0051819421836
"Chris Boucher","F","2017-2018","GSW","R",17.1112987284772,-10.2627442056016
"Chris McCullough","F","2017-2018","WAS","2",11.4420037469852,-1.30322868498394
"Chris Paul","PG","2017-2018","HOU","12",-28.8690628678502,8.3233977661556
"Clint Capela","C","2017-2018","HOU","3",22.8056076181645,-30.497678747608
"Cody Zeller","PF","2017-2018","CHO","4",20.7836749087731,-30.2926310025715
"Cole Aldrich","C","2017-2018","MIN","7",17.350719930572,-36.8179027084018
"Corey Brewer","SF","2017-2018","LAL","10",5.74065187606029,18.7560011585104
"Cory Joseph","PG","2017-2018","IND","6",-18.6116800297117,1.97855379342123
"Courtney Lee","SG","2017-2018","NYK","9",-4.82191741184056,20.8489225515101
"Cristiano Felicio","C","2017-2018","CHI","2",28.4390418857365,-25.7263881190474
"D.J. Augustin","PG","2017-2018","ORL","9",-25.4224286610973,3.13144117480521
"D.J. Wilson","F","2017-2018","MIL","R",15.0501670768527,-12.7508471121791
"D'Angelo Russell","PG","2017-2018","BRK","2",-18.2344432247017,15.9144934830707
"Dakari Johnson","C","2017-2018","OKC","R",31.3539132705842,-22.0623787040257
"Damian Jones","F-C","2017-2018","GSW","1",7.30674518683545,-19.3425318391578
"Damian Lillard","PG","2017-2018","POR","5",-25.1603759865277,-11.8882139385984
"Damien Wilkins","SG","2017-2018","IND","1",-8.97933895894388,-7.45421953794071
"Damyean Dotson","SG","2017-2018","NYK","R",7.4894011922658,-2.06599165657539
"Daniel Hamilton","G-F","2017-2018","OKC","R",7.7284186112726,10.677547850616
"Daniel Theis","C","2017-2018","BOS","R",-12.5052756070692,-33.3967945513469
"Danilo Gallinari","SF","2017-2018","LAC","8",-13.8954202622175,-8.41886210569
"Danny Green","SG","2017-2018","SAS","8",2.04747974114261,18.9993791575719
"Dante Cunningham","SF","2017-2018","NOP","8",-11.337195573128,25.5714035343329
"Dante Exum","G","2017-2018","UTA","2",-19.3786544960413,24.3006443189423
"Dario Saric","PF","2017-2018","PHI","1",0.452090618239687,9.12967804533896
"Darius Miller","SF","2017-2018","NOP","1",32.2959502765892,0.442299457403164
"Darrell Arthur","F","2017-2018","DEN","8",-23.2327907717694,-16.8442686498324
"Darren Collison","PG","2017-2018","IND","8",-18.4684407537582,0.92639419487342
"Darrun Hilliard","G","2017-2018","SAS","2",15.9964416732973,2.37135373706612
"David Nwaba","SG","2017-2018","CHI","1",6.80970033223326,-35.488479839498
"David West","C","2017-2018","GSW","14",-10.3233610878309,21.6695819165963
"Davis Bertans","PF","2017-2018","SAS","1",10.0064119337078,28.3321441522041
"Davon Reed","G","2017-2018","PHO","R",2.36493118414764,1.81057381057365
"De'Aaron Fox","PG","2017-2018","SAC","R",-5.1298558386487,-1.49071014595796
"DeAndre Jordan","C","2017-2018","LAC","9",10.1426441450523,-27.0314324106338
"DeAndre Liggins","G","2017-2018","MIL","4",14.9844672189341,16.0489303839707
"DeAndre' Bembry","SF","2017-2018","ATL","1",30.6808487038075,2.80125141751953
"Dejounte Murray","PG","2017-2018","SAS","1",-9.03449171446572,-0.545383559414032
"Delon Wright","PG","2017-2018","TOR","2",-0.184417190296959,-3.97733815615303
"DeMar DeRozan","SG","2017-2018","TOR","8",-22.393737406553,-3.50412366079355
"DeMarcus Cousins","C","2017-2018","NOP","7",-22.4406995221213,-8.26134224958345
"DeMarre Carroll","SF","2017-2018","BRK","8",-4.41165177976841,19.0624127778091
"Demetrius Jackson","PG","2017-2018","HOU","1",21.9900626383782,10.0303578186199
"Dennis Schroder","PG","2017-2018","ATL","4",-18.121175771089,4.46568618997005
"Dennis Smith Jr.","PG","2017-2018","DAL","R",-3.87754683460414,-2.94688269939163
"Denzel Valentine","SG","2017-2018","CHI","1",1.73717137288099,28.4194667114607
"Derrick Favors","PF","2017-2018","UTA","7",-9.48696436475336,-17.1864720740337
"Derrick Jones","SF","2017-2018","PHO","1",8.15991133059814,-34.2983291348444
"Derrick Rose","PG","2017-2018","CLE","8",-21.0087765931969,-2.80229570723924
"Derrick Walton","G","2017-2018","MIA","R",0.476481294399563,4.84645299848741
"Derrick White","PG","2017-2018","SAS","R",3.00263100604548,-8.57608706531537
"Devin Booker","SG","2017-2018","PHO","2",-30.3126189848828,-5.04047266072407
"Devin Harris","PG","2017-2018","DAL","13",-27.8968539659897,5.07975424330894
"Devin Robinson","F","2017-2018","WAS","R",8.45707490513204,-0.366326111691128
"Dewayne Dedmon","C","2017-2018","ATL","4",21.3188826490675,-36.3496995221251
"Deyonta Davis","F-C","2017-2018","MEM","1",22.9509731122955,-16.7249201005346
"Dillon Brooks","SF","2017-2018","MEM","R",2.54460969724525,-12.2313937572055
"Dion Waiters","SG","2017-2018","MIA","5",-12.8079385148884,-1.22011480223884
"Dirk Nowitzki","C","2017-2018","DAL","19",-20.558951508945,-11.7324899258255
"Domantas Sabonis","PF","2017-2018","IND","1",4.43206454157438,13.9113673665219
"Donovan Mitchell","SG","2017-2018","UTA","R",8.58524150005661,1.64262021669112
"Dorian Finney-Smith","PF","2017-2018","DAL","1",10.2523027885515,17.0541994557258
"Doug McDermott","SF","2017-2018","NYK","3",-12.2797968870646,26.0909854307654
"Dragan Bender","PF","2017-2018","PHO","1",26.5369289167387,4.45128693850691
"Draymond Green","PF","2017-2018","GSW","5",-26.4328365496271,28.0154134391885
"Dwayne Bacon","SG","2017-2018","CHO","R",4.24207585307891,-2.57039671620828
"Dwight Buycks","PG","2017-2018","DET","1",8.28967635219588,-7.55755718950282
"Dwight Howard","C","2017-2018","CHO","13",10.760661911014,-26.4585429929549
"Dwight Powell","C","2017-2018","DAL","3",-15.5563054892685,6.89495687651303
"Dwyane Wade","SG","2017-2018","CLE","14",-16.5402127779493,-14.7430239493642
"E'Twaun Moore","SG","2017-2018","NOP","6",-9.4220651571099,12.7151387556167
"Ed Davis","PF","2017-2018","POR","7",32.0983506650763,-30.7433602031224
"Edmond Sumner","G","2017-2018","IND","R",-4.48540007888407,-2.39949729194947
"Ekpe Udoh","PF","2017-2018","UTA","1",27.362175422518,-34.0598780127033
"Elfrid Payton","PG","2017-2018","ORL","3",-24.3481143334569,21.915139729101
"Emmanuel Mudiay","PG","2017-2018","DEN","2",-15.6001801240697,15.4335079381318
"Enes Kanter","C","2017-2018","NYK","6",28.6513056149866,-18.3992841047622
"Eric Bledsoe","PG","2017-2018","PHO","7",-33.2348381132108,10.6256190781368
"Eric Gordon","SG","2017-2018","HOU","9",-10.1576534923683,35.3029478470124
"Eric Griffin","F","2017-2018","UTA","R",0.0225988232271705,-6.53858650838189
"Eric Moreland","PF","2017-2018","DET","1",11.0380436964999,-32.98842542293
"Ersan Ilyasova","PF","2017-2018","ATL","9",13.9343506263837,27.9935195017972
"Evan Fournier","SF","2017-2018","ORL","5",-22.1145249343502,11.9162749765967
"Evan Turner","SF","2017-2018","POR","7",-17.6639885617656,0.642402834864454
"Frank Jackson","G","2017-2018","NOP","R",4.14516630386816,0.936000101802248
"Frank Kaminsky","C","2017-2018","CHO","2",-17.2274236313166,8.73829546428777
"Frank Mason III","G","2017-2018","SAC","R",-2.56124639946606,-0.623384215461362
"Frank Ntilikina","PG","2017-2018","NYK","R",-17.2421221889965,-34.8065978325065
"Fred VanVleet","PG","2017-2018","TOR","1",18.4349882470899,-5.03172114936285
"Furkan Korkmaz","G","2017-2018","PHI","R",-17.1369612773268,-37.2810624368347
"Garrett Temple","SG","2017-2018","SAC","7",-5.10186322411208,19.6066137324423
"Gary Harris","SG","2017-2018","DEN","3",-29.054495691543,16.8460531931394
"Gary Payton 2","G","2017-2018","MIL","1",20.4218670680033,3.54054687621634
"George Hill","PG","2017-2018","SAC","9",-29.1401107443925,5.83610554064777
"Georgios Papagiannis","C","2017-2018","SAC","1",21.0525834116467,-26.2759175473369
"Gian Clavell","G","2017-2018","DAL","R",4.5689279384459,-5.30940026134403
"Giannis Antetokounmpo","PF","2017-2018","MIL","4",-10.6414278505809,-11.1122861530244
"Glenn Robinson 2","G-F","2017-2018","IND","3",10.7907551738734,15.4929757994883
"Goran Dragic","PG","2017-2018","MIA","9",-12.4575709841745,-5.17142118172805
"Gordon Hayward","SF","2017-2018","BOS","7",-24.1751039930284,12.3550981487338
"Gorgui Dieng","C","2017-2018","MIN","4",16.9953936155483,-19.8828154498842
"Greg Monroe","C","2017-2018","MIL","7",25.3100244718242,-25.4732159535872
"Guerschon Yabusele","F","2017-2018","BOS","R",-14.9225755584552,-33.2138727042918
"Harrison Barnes","PF","2017-2018","DAL","5",-27.4540510857967,-4.48840013608532
"Harry Giles","F-C","2017-2018","SAC","R",22.4737438760612,-19.7330041540507
"Hassan Whiteside","C","2017-2018","MIA","5",24.2696996202894,-30.0316721581855
"Henry Ellenson","PF","2017-2018","DET","1",5.51721354427538,32.5369446714979
"Ian Clark","SG","2017-2018","NOP","4",-9.53767321762341,14.379765809018
"Ian Mahinmi","C","2017-2018","WAS","9",12.7230194342639,-26.2440653493138
"Ike Anigbogu","F-C","2017-2018","IND","R",22.915355691765,-16.7851051474629
"Iman Shumpert","SG","2017-2018","CLE","6",-20.8264874838858,13.2071231593758
"Isaiah Hicks","F","2017-2018","NYK","R",27.2354252360761,-20.7507292597352
"Isaiah Taylor","G","2017-2018","ATL","1",-1.69568910779435,-32.4322984493664
"Isaiah Thomas","G","2017-2018","CLE","6",-33.3479953576234,12.2014517051881
"Isaiah Whitehead","G","2017-2018","BRK","1",-14.7941142106251,14.7792293356636
"Ish Smith","PG","2017-2018","DET","7",-25.2128067584504,20.9307157717174
"Ivan Rabb","F","2017-2018","MEM","R",-3.15285380507481,-15.5246898038146
"Ivica Zubac","C","2017-2018","LAL","1",22.4169131729583,-26.4708821299659
"J.J. Barea","PG","2017-2018","DAL","11",-19.4481521165555,19.5497770961138
"J.J. Redick","SG","2017-2018","PHI","11",-10.2328946654184,30.5789409252029
"J.R. Smith","SG","2017-2018","CLE","13",-1.49547015701561,24.5980200041954
"Jabari Bird","G","2017-2018","BOS","R",5.8056813737933,0.54289084958458
"Jabari Parker","F","2017-2018","MIL","3",-36.8608166627878,0.582972161515291
"Jack Cooley","PF","2017-2018","SAC","1",15.173772466659,-24.9174301750235
"Jacob Pullen","G","2017-2018","PHI","R",-0.190027500296308,-7.90115272137607
"Jacob Wiley","F","2017-2018","BRK","R",0.261657016477795,-24.0325808531182
"Jae Crowder","SF","2017-2018","CLE","5",-25.5133950429383,13.2454528070861
"Jahlil Okafor","C-F","2017-2018","PHI","2",25.6994287832944,-20.7286621571715
"JaKarr Sampson","SF","2017-2018","SAC","1",16.3926048251218,3.16654308823977
"Jake Layman","SF","2017-2018","POR","1",11.9990621345267,10.7384357448122
"Jakob Poeltl","C","2017-2018","TOR","1",31.6914610939105,-30.3279169000902
"Jamal Crawford","SG","2017-2018","MIN","17",-15.6879561272937,-12.8296293720923
"Jamal Murray","PG","2017-2018","DEN","1",-16.8015200317881,15.4744051559209
"Jamel Artis","F","2017-2018","ORL","R",2.13959510102949,-4.03653733812238
"James Ennis","SF","2017-2018","MEM","3",15.021637671301,20.3485382847163
"James Harden","SG","2017-2018","HOU","8",-34.7722669627582,10.4132883349376
"James Johnson","PF","2017-2018","MIA","8",-30.0480746543802,2.81500747626838
"James Michael McAdoo","F","2017-2018","PHI","3",10.9852956076028,-13.5014072417249
"Jamil Wilson","F","2017-2018","LAC","R",0.727930052710193,-7.05426571153323
"JaMychal Green","PF","2017-2018","MEM","3",15.0469977820413,21.1212166036035
"Jared Dudley","F-G","2017-2018","PHO","10",18.7740347571544,29.9688825140129
"Jarell Martin","PF","2017-2018","MEM","2",-2.17794007436558,-20.5605207504934
"Jarrett Allen","F-C","2017-2018","BRK","R",32.3747150135303,-24.0873941705683
"Jarrett Jack","G","2017-2018","NYK","12",5.24226926072719,-37.7370966634644
"Jason Smith","C","2017-2018","WAS","9",-12.5003549603957,-17.4586962894686
"Jason Terry","G","2017-2018","MIL","18",-6.18288678366356,27.0073752555483
"JaVale McGee","C","2017-2018","GSW","9",12.3009328113444,-36.0787470042532
"Jawun Evans","G","2017-2018","LAC","R",-4.61963179339183,-0.432449780055168
"Jaylen Brown","SF","2017-2018","BOS","1",-8.30190425766936,9.94779107512683
"Jayson Tatum","PF","2017-2018","BOS","R",3.68101566442621,8.08027458762417
"Jeff Green","PF","2017-2018","CLE","9",-24.5940239509292,2.53464344113006
"Jeff Teague","PG","2017-2018","MIN","8",-28.8602055131422,12.0662069214882
"Jeff Withey","C","2017-2018","DAL","4",27.5355630706575,-32.3007373069242
"Jerami Grant","SF","2017-2018","OKC","3",-3.30984307253753,2.86999479568362
"Jeremy Evans","SF","2017-2018","ATL","1",29.9608183120421,18.7530214222362
"Jeremy Lamb","SG","2017-2018","CHO","5",15.10094675087,7.01006176486814
"Jeremy Lin","PG","2017-2018","BRK","7",-31.7793671112233,8.33075754010745
"Jerian Grant","PG","2017-2018","CHI","2",-18.1915699218349,27.8950026482542
"Jerryd Bayless","SG","2017-2018","PHI","9",-14.0454008669439,2.54598406493358
"Jimmy Butler","SG","2017-2018","MIN","6",-25.3977743031707,-0.223023879885484
"Joakim Noah","C","2017-2018","NYK","10",33.506335526371,-32.0789580559107
"Jodie Meeks","SG","2017-2018","WAS","8",-12.1958555478644,31.9380820733564
"Joe Harris","G","2017-2018","BRK","3",24.9611342351598,4.4454113971184
"Joe Ingles","SF","2017-2018","UTA","3",-1.91718527674789,27.4543904162217
"Joe Johnson","SF","2017-2018","UTA","16",-6.17155236859021,25.021124610356
"Joe Young","G","2017-2018","IND","2",16.5926297833582,6.6800606416976
"Joel Embiid","C","2017-2018","PHI","1",5.77351647386657,-9.64677286162257
"Joffrey Lauvergne","C","2017-2018","SAS","3",-30.8591895995722,1.26124841646385
"John Collins","PF","2017-2018","ATL","R",27.9026578458458,-20.7233343473719
"John Henson","C","2017-2018","MIL","5",26.7332599956337,-32.9113347765143
"John Holland","G-F","2017-2018","CLE","R",-1.09417301830557,-7.43420589706828
"John Wall","PG","2017-2018","WAS","7",-23.7270540573689,18.0540407210286
"Johnathan Motley","F","2017-2018","DAL","R",2.22830071265939,-13.462178462461
"Johnny O'Bryant","F-C","2017-2018","CHO","3",2.79095949596123,-15.8694703934106
"Jon Leuer","PF","2017-2018","DET","6",-23.5415713621264,8.37697196740338
"Jonas Jerebko","F","2017-2018","UTA","7",15.4753114441022,23.1177926153623
"Jonas Valanciunas","C","2017-2018","TOR","5",-3.30552639909194,-17.1453990240576
"Jonathan Isaac","PF","2017-2018","ORL","R",13.2307879870552,-10.6695846560231
"Jonathon Simmons","SG","2017-2018","ORL","2",-6.85188780441135,18.4865004879013
"Jordan Bell","C","2017-2018","GSW","R",11.8973154153087,-14.506301559941
