"Player","Pos","Season","Tm","Exp","x","y"
"Jordan Clarkson","SG","2017-2018","LAL","3",-13.4529595730841,8.86733308436279
"Jordan Crawford","SG","2017-2018","NOP","5",-31.0836967499422,5.45407783124795
"Jordan Mickey","F","2017-2018","MIA","2",33.9691181756641,-23.3291230712491
"Jose Calderon","G","2017-2018","CLE","12",16.6891954758965,23.7558636443796
"Josh Hart","G","2017-2018","LAL","R",6.4695118788424,-3.01170847075667
"Josh Huestis","PF","2017-2018","OKC","2",19.3181225435539,-10.2338008835293
"Josh Jackson","SF","2017-2018","PHO","R",6.29851270054682,-13.6439749445838
"Josh McRoberts","F","2017-2018","DAL","10",0.588947974241722,22.3432709601697
"Josh Richardson","SF","2017-2018","MIA","2",2.38848669709916,17.6008396652232
"Jrue Holiday","PG","2017-2018","NOP","8",-20.7273849565722,18.1651824648462
"Juan Hernangomez","PF","2017-2018","DEN","1",9.19288251401975,-2.77852279671439
"Julius Randle","PF","2017-2018","LAL","3",-5.96672233095225,-13.4805135084381
"Julyan Stone","SG","2017-2018","CHO","1",20.6799539733862,4.73629062156896
"Justin Anderson","G","2017-2018","PHI","2",-20.1572246726516,33.8944167717844
"Justin Holiday","SG","2017-2018","CHI","4",11.1754335484764,9.11723102961045
"Justin Jackson","SF","2017-2018","SAC","R",6.90767293630701,-0.16791903118207
"Justin Patton","C","2017-2018","MIN","R",-3.67178655474567,-24.2462419032226
"Justise Winslow","SF","2017-2018","MIA","2",-13.4516107863043,11.3936495121703
"Jusuf Nurkic","C","2017-2018","POR","3",34.1171642502806,-24.6554585256011
"K.J. McDaniels","G-F","2017-2018","TOR","3",20.1311046117726,0.104334734364027
"Kadeem Allen","G","2017-2018","BOS","R",-1.71277521742536,0.0291681383833434
"Karl-Anthony Towns","C","2017-2018","MIN","2",-8.62965657698315,18.215320322145
"Kawhi Leonard","F","2017-2018","SAS","6",-26.4360596242092,-9.70606012222914
"Kay Felder","PG","2017-2018","CHI","1",18.3854717127123,-4.98778857923133
"Kelly Olynyk","PF","2017-2018","MIA","4",8.75798353910777,4.39214008589294
"Kelly Oubre","SF","2017-2018","WAS","2",9.47379959066908,2.58956548061806
"Kemba Walker","PG","2017-2018","CHO","6",-27.6563204121468,7.84839926041113
"Kenneth Faried","PF","2017-2018","DEN","6",26.4006896514029,-25.3243891459692
"Kent Bazemore","SG","2017-2018","ATL","5",-11.8802110259719,5.85133244987269
"Kentavious Caldwell-Pope","G","2017-2018","LAL","4",-16.9151145758479,11.3932253203938
"Kevin Durant","SF","2017-2018","GSW","10",-11.2384566011141,-11.8188564027851
"Kevin Love","C","2017-2018","CLE","9",30.5796241703195,-6.45970731137278
"Kevon Looney","C","2017-2018","GSW","2",2.25614827931045,-19.8521735858884
"Khem Birch","F","2017-2018","ORL","R",2.13419357842382,-5.96914912572777
"Khris Middleton","SF","2017-2018","MIL","5",-4.24710947405557,10.9997274105952
"Klay Thompson","SG","2017-2018","GSW","6",-34.6380433998778,21.4510681562371
"Kosta Koufos","C","2017-2018","SAC","9",21.2811047996636,-31.8284445340167
"Kris Dunn","G","2017-2018","CHI","1",0.758356603655279,15.7200713461832
"Kristaps Porzingis","PF","2017-2018","NYK","2",-36.3607819502934,-1.52217623236195
"Kyle Anderson","SF","2017-2018","SAS","3",26.1102558084195,14.6120701985194
"Kyle Korver","SG","2017-2018","CLE","14",-2.66176349882154,29.3810070918536
"Kyle Kuzma","SF","2017-2018","LAL","R",1.1562830297338,-9.99213169103952
"Kyle Lowry","PG","2017-2018","TOR","11",-31.2201598000675,11.2834697521825
"Kyle O'Quinn","C","2017-2018","NYK","5",21.6454486496527,-13.3359056390597
"Kyle Singler","F","2017-2018","OKC","5",30.1412294792693,18.9044618089607
"Kyrie Irving","PG","2017-2018","BOS","6",-34.0434093957152,19.975211221846
"LaMarcus Aldridge","PF","2017-2018","SAS","11",-15.7739033346817,-15.73821399246
"Lance Stephenson","SG","2017-2018","IND","7",-15.5328292580386,18.0323736223442
"Lance Thomas","PF","2017-2018","NYK","6",13.1507246027804,17.0271755102281
"Langston Galloway","SG","2017-2018","DET","3",-15.4838875062187,21.5058680724474
"Larry Drew II","G","2017-2018","MIA","1",6.78099239080413,-6.81289949661774
"Larry Nance Jr.","PF","2017-2018","LAL","2",15.6016652948689,-19.8255044998528
"Lauri Markkanen","PF","2017-2018","CHI","R",-5.38161629891845,-9.1214641857405
"LeBron James","PF","2017-2018","CLE","14",-21.3454994351808,17.5301462630716
"London Perrantes","G","2017-2018","CLE","R",-0.0196431928568025,3.63898433510363
"Lonzo Ball","PG","2017-2018","LAL","R",10.4129381772571,5.14313408210845
"Lorenzo Brown","PG","2017-2018","TOR","1",9.86185313702915,36.5873465893483
"Lou Williams","SG","2017-2018","LAC","12",-12.4986115765116,-6.64939580012858
"Luc Mbah a Moute","PF","2017-2018","HOU","9",6.03215968836906,18.2152945118896
"Lucas Nogueira","C","2017-2018","TOR","3",11.677784154336,-16.3170673856364
"Luis Montero","SG","2017-2018","DET","1",7.99957306989232,36.4505637720613
"Luke Babbitt","SF","2017-2018","ATL","7",-1.37951472380918,29.2673518311463
"Luke Kennard","G","2017-2018","DET","R",5.50813760557434,-0.983180661301144
"Luke Kornet","F","2017-2018","NYK","R",16.36510426808,-10.6322100183537
"Luol Deng","SF","2017-2018","LAL","13",5.21569139963605,22.523954756996
"Malachi Richardson","SG","2017-2018","SAC","1",13.8258501477057,6.22813489589878
"Malcolm Brogdon","PG","2017-2018","MIL","1",-20.7873404265213,25.167793898446
"Malcolm Delaney","PG","2017-2018","ATL","1",-11.4632601344977,2.72691814997563
"Malcolm Miller","F","2017-2018","TOR","R",4.85585588295799,-8.37339489113639
"Malik Beasley","SG","2017-2018","DEN","1",12.0969248660113,0.801184179833197
"Malik Monk","SG","2017-2018","CHO","R",2.6483600852465,-0.926383029409715
"Mangok Mathiang","C-F","2017-2018","CHO","R",27.9545892238117,-30.5786618479002
"Manu Ginobili","SG","2017-2018","SAS","15",-14.2302953342837,35.477287596402
"Marc Gasol","C","2017-2018","MEM","9",-19.861743506135,-8.88421996378236
"Marcin Gortat","C","2017-2018","WAS","10",22.328918831222,-33.4986023283101
"Marco Belinelli","SG","2017-2018","ATL","10",-25.13723202314,1.51079870702312
"Marcus Georges-Hunt","G","2017-2018","MIN","1",0.353417788190772,5.97878001938703
"Marcus Morris","F","2017-2018","BOS","6",-6.86545439405834,15.9379873677807
"Marcus Paige","G","2017-2018","CHO","R",0.452723762206902,2.2594113558307
"Marcus Smart","SG","2017-2018","BOS","3",-4.41976006453733,6.18469562490892
"Mario Chalmers","PG","2017-2018","MEM","1",-7.21274101612639,5.28728287957065
"Mario Hezonja","F-G","2017-2018","ORL","2",3.56699118992,29.2831276496804
"Markelle Fultz","SG","2017-2018","PHI","R",-12.3717305276679,-1.72129953417442
"Markieff Morris","F","2017-2018","WAS","6",-9.07745812684704,9.43688863593506
"Marquese Chriss","PF","2017-2018","PHO","1",5.09592079564084,14.0525634512649
"Marreese Speights","C-F","2017-2018","ORL","9",24.9960564260657,-5.13747984881239
"Marvin Williams","PF","2017-2018","CHO","12",6.05638494020339,22.4801309625348
"Mason Plumlee","C","2017-2018","DEN","4",21.1236601934122,-31.2007987638983
"Matt Costello","F","2017-2018","SAS","R",-0.734631868367818,-16.6744833432509
"Matt Williams","G","2017-2018","MIA","R",1.30147037860922,27.5004008826082
"Matthew Dellavedova","PG","2017-2018","MIL","4",-12.371682471401,17.2878562355009
"Maurice Harkless","SF","2017-2018","POR","5",19.9828339301766,16.845188124877
"Maxi Kleber","F","2017-2018","DAL","R",-13.4120416408732,-34.9799780697937
"Meyers Leonard","PF","2017-2018","POR","5",23.6367788210977,-4.05380895366715
"Michael Beasley","PF","2017-2018","NYK","9",-13.6026296078227,-19.8302432589178
"Michael Carter-Williams","G","2017-2018","CHO","4",-16.1294824545697,0.321709098699757
"Michael Kidd-Gilchrist","F","2017-2018","CHO","5",17.3224518803389,-18.7922847170243
"Michael Young","F","2017-2018","WAS","R",-1.81856567627576,-10.0992928274
"Mike Conley","PG","2017-2018","MEM","10",-31.6392072790783,10.3940507069866
"Mike James","PG","2017-2018","PHO","R",0.784795374531333,-6.16825636588642
"Mike Muscala","C","2017-2018","ATL","4",-10.6357573602865,12.4136746968653
"Mike Scott","PF","2017-2018","WAS","5",9.33583925256308,36.5480815292974
"Miles Plumlee","C-F","2017-2018","ATL","5",17.0032876692082,-23.9691509911906
"Milos Teodosic","PG","2017-2018","LAC","R",-13.8948547988737,-37.8380919543307
"Mindaugas Kuzminskas","F","2017-2018","NYK","1",-0.700973512195375,13.2988167369597
"Mirza Teletovic","PF","2017-2018","MIL","5",2.63385585504116,32.771660217309
"Monte Morris","G","2017-2018","DEN","R",-22.6387128923984,21.3623528280807
"Montrezl Harrell","C","2017-2018","LAC","2",9.91196870390257,-34.364401359907
"Myles Turner","C","2017-2018","IND","2",16.4511280810093,-16.0920354789075
"Nate Wolters","PG","2017-2018","UTA","1",31.4324911251132,1.3191989379757
"Nemanja Bjelica","PF","2017-2018","MIN","2",7.97939125367429,6.21764181680808
"Nene Hilario","C","2017-2018","HOU","15",2.9727498548924,-28.2219908880506
"Nerlens Noel","C","2017-2018","DAL","3",24.4193958565846,-26.9600107119869
"Nick Collison","F","2017-2018","OKC","13",5.10215467666442,-29.4583462640666
"Nick Young","SG","2017-2018","GSW","10",-10.3999773324231,37.1711698978224
"Nicolas Batum","F-G","2017-2018","CHO","9",-19.5382735150372,9.66514110610093
"Nicolas Brussino","G-F","2017-2018","ATL","1",9.2105333849948,28.0019049336859
"Nik Stauskas","G","2017-2018","PHI","3",2.53086441015063,13.4449821644575
"Nikola Jokic","C","2017-2018","DEN","2",-5.93026002389135,-25.2859900884851
"Nikola Mirotic","F","2017-2018","CHI","3",22.299768241122,-1.12348283101759
"Nikola Vucevic","C","2017-2018","ORL","6",-7.96379898320606,-20.7397225921827
"Noah Vonleh","F","2017-2018","POR","3",-4.31561885463785,-15.4123622515392
"Norman Powell","SG","2017-2018","TOR","2",-7.81573178997783,15.9358308708215
"OG Anunoby","SF","2017-2018","TOR","R",10.3059400181299,-9.07225104072352
"Okaro White","F","2017-2018","MIA","1",16.089817757155,12.3572942598146
"Omer Asik","C","2017-2018","NOP","7",22.2011309991924,-37.6315817613752
"Omri Casspi","SF","2017-2018","GSW","8",-22.0006078387121,6.81446012207702
"Otto Porter","SF","2017-2018","WAS","4",5.43415636384754,5.19953809840086
"P.J. Tucker","SF","2017-2018","HOU","6",15.7174584246766,19.1953032324972
"Pascal Siakam","PF","2017-2018","TOR","1",17.8726282428835,-21.9086679249867
"Pat Connaughton","SG","2017-2018","POR","2",13.6953906735212,-5.32776937508897
"Patrick Beverley","SG","2017-2018","LAC","5",17.6631717741396,18.8923893096695
"Patrick McCaw","SG","2017-2018","GSW","1",3.63062973341892,3.86220083304537
"Patrick Patterson","PF","2017-2018","OKC","7",8.82190366955987,20.1412679060685
"Patty Mills","PG","2017-2018","SAS","8",-12.8872060326066,20.5035769704072
"Pau Gasol","C","2017-2018","SAS","16",-8.76865539796473,-14.9806763956187
"Paul George","SF","2017-2018","OKC","7",-25.1407381370104,-10.8340168764005
"Paul Millsap","PF","2017-2018","DEN","11",-17.9678991586328,-7.92523266540047
"Paul Zipser","SF","2017-2018","CHI","1",2.4804709425473,10.0056919030321
"PJ Dozier","G","2017-2018","OKC","R",6.75392329200978,-14.5796106795975
"Quincy Acy","PF","2017-2018","BRK","5",-18.4017046767254,7.68106779557469
"Quincy Pondexter","SF-SG","2017-2018","CHI","1",16.362461448783,11.7385013298461
"Quinn Cook","G","2017-2018","GSW","1",29.0551292062975,4.69456444506398
"Rajon Rondo","G","2017-2018","NOP","11",-25.7223050085687,27.5741662842801
"Ramon Sessions","PG","2017-2018","NYK","10",-8.44590893025668,-6.06464076322062
"Rashad Vaughn","SG","2017-2018","MIL","2",30.4071805018815,2.05679757340273
"Raul Neto","G","2017-2018","UTA","2",17.038888066132,-1.87839729319912
"Raymond Felton","PG","2017-2018","OKC","12",-6.80052174283239,24.4770957987924
"Reggie Bullock","G-F","2017-2018","DET","4",10.970870395662,13.9117038871225
"Reggie Jackson","PG","2017-2018","DET","6",-16.5972035547269,3.4752578741823
"Richard Jefferson","F","2017-2018","DEN","16",18.3478082744361,30.5087435254542
"Richaun Holmes","F-C","2017-2018","PHI","2",-12.7131608531103,-18.7559097842798
"Ricky Rubio","PG","2017-2018","UTA","6",-26.746758255166,24.187493691392
"Robert Covington","SF","2017-2018","PHI","4",-4.38904766568163,-6.15137930086579
"Robin Lopez","C","2017-2018","CHI","9",20.0824627597624,-22.7947845752066
"Rodney Hood","SG","2017-2018","UTA","3",-7.15828722435853,9.55153090526183
"Rodney McGruder","G","2017-2018","MIA","1",-21.4390570849855,32.063970061688
"Ron Baker","SG","2017-2018","NYK","1",2.43721148331534,16.6644139472481
"Rondae Hollis-Jefferson","SF","2017-2018","BRK","2",-6.1217522456094,-3.42667876410952
"Royce O'Neal","F","2017-2018","UTA","R",11.8574994337449,-4.98986812300608
"Rudy Gay","SF","2017-2018","SAS","11",-16.7557779358158,-4.4523643044428
"Rudy Gobert","C","2017-2018","UTA","4",22.8441695912575,-39.5747549143711
"Russell Westbrook","PG","2017-2018","OKC","9",-36.0504114533592,9.9838176951455
"Ryan Anderson","PF","2017-2018","HOU","9",-9.35915788237845,35.604672288209
"Ryan Arcidiacono","PG","2017-2018","CHI","R",0.13407523782079,2.5046951149411
"Salah Mejri","C","2017-2018","DAL","2",11.4166952783418,-17.0291655773765
"Sam Dekker","SF","2017-2018","LAC","2",20.8984502892922,19.4163356006081
"Sean Kilpatrick","G","2017-2018","BRK","3",-15.9432469987592,-4.14628008346784
"Semi Ojeleye","PF","2017-2018","BOS","R",-5.84380654938888,-9.32863208422411
"Serge Ibaka","PF","2017-2018","TOR","8",15.8213581816074,-14.3174064299362
"Seth Curry","G","2017-2018","DAL","4",-15.8941893162636,28.6656117439174
"Shabazz Muhammad","SF","2017-2018","MIN","4",-2.87599365225948,-10.4072761279405
"Shabazz Napier","PG","2017-2018","POR","3",15.085283954073,-0.50176700416685
"Shane Larkin","PG","2017-2018","BOS","1",-6.12552473927009,1.68675108906086
"Shaun Livingston","PG","2017-2018","GSW","12",-22.1786675530123,30.1262375110831
"Sheldon McClellan","G","2017-2018","WAS","1",12.452428002384,7.8712063441404
"Shelvin Mack","G","2017-2018","ORL","6",-3.56443132448499,13.4844973898788
"Sindarius Thornwell","SG","2017-2018","LAC","R",-2.66158869739766,-5.69899422254188
"Skal Labissiere","PF","2017-2018","SAC","1",-1.66381967907191,-13.5224678193241
"Solomon Hill","F","2017-2018","NOP","4",9.86339297582174,18.3570887631894
"Spencer Dinwiddie","PG","2017-2018","BRK","3",-2.33928122131518,1.80363627968173
"Stanley Johnson","SF","2017-2018","DET","2",3.57540002052457,11.5450483734957
"Stephen Curry","PG","2017-2018","GSW","8",-32.1204475443484,13.741277120733
"Sterling Brown","G","2017-2018","MIL","R",12.340925604088,-5.14045710397779
"Steven Adams","C","2017-2018","OKC","4",31.6912304161486,-25.1460514813739
"T.J. Leaf","PF","2017-2018","IND","R",-4.57310171582446,-24.0163020414346
"T.J. McConnell","PG","2017-2018","PHI","2",-25.3866976749666,23.6468887238586
"T.J. Warren","SF","2017-2018","PHO","3",-26.7557903215178,-4.05049720525881
"Taj Gibson","PF","2017-2018","MIN","8",-18.6429377593469,-1.7513489730586
"Tarik Black","C-F","2017-2018","HOU","3",-1.8589196351291,-17.8027495359581
"Taurean Waller-Prince","SF","2017-2018","ATL","1",3.52846393372095,9.00436226921128
"Terrance Ferguson","SG","2017-2018","OKC","R",-15.6532897558514,-34.7314972435901
"Terrence Ross","SG","2017-2018","ORL","5",-2.59956718563033,16.9352115669484
"Terry Rozier","PG","2017-2018","BOS","2",8.18031041037074,11.8859377078982
"Thabo Sefolosha","SF","2017-2018","UTA","11",2.97314547731657,22.7708384144002
"Thaddeus Young","PF","2017-2018","IND","10",-22.6969123043589,7.30755126108833
"Thomas Bryant","C","2017-2018","LAL","R",0.324034767589039,-12.1394425772341
"Thon Maker","C","2017-2018","MIL","1",22.788106641236,-5.0290721216248
"Tim Frazier","PG","2017-2018","WAS","3",-22.732947193803,25.1050825690072
"Tim Hardaway 2","SG","2017-2018","NYK","4",-2.15853867236915,15.8858406685526
"Timofey Mozgov","C","2017-2018","BRK","7",24.2675552801624,-23.567202427813
"Timothe Luwawu-Cabarrot","SF","2017-2018","PHI","1",-3.08012850892232,9.59820206595579
"Tobias Harris","PF","2017-2018","DET","6",-13.3458167745813,7.13203157880918
"Tomas Satoransky","G","2017-2018","WAS","1",-8.30725179931266,24.2089585537461
"Tony Allen","SG","2017-2018","NOP","13",5.01002146265149,24.1339724595716
"Tony Bradley","F-C","2017-2018","UTA","R",27.7558168224731,-23.1381763537559
"Tony Parker","G","2017-2018","SAS","16",-19.9658064189585,0.831073575536437
"Tony Snell","SG","2017-2018","MIL","4",-6.55610684421201,12.4188224457362
"Torrey Craig","G-F","2017-2018","DEN","R",1.0092747718272,-7.74985196716428
"Treveon Graham","SG","2017-2018","CHO","1",20.9562154390233,9.83429756825265
"Trevor Ariza","SF","2017-2018","HOU","13",-2.42254443960543,20.7773934477564
"Trevor Booker","PF","2017-2018","BRK","7",-8.13429438146068,-18.2894818311959
"Trey Lyles","PF","2017-2018","DEN","2",4.13612801260857,31.5990254605791
"Tristan Thompson","C","2017-2018","CLE","6",28.1331618022787,-28.1317475468713
"Troy Daniels","SG","2017-2018","PHO","4",-15.5105204369123,22.7413042021787
"Troy Williams","F","2017-2018","HOU","1",16.648862197395,0.562394274582355
"Tyler Dorsey","G","2017-2018","ATL","R",2.76919005951401,0.494885705033195
"Tyler Ennis","PG","2017-2018","LAL","3",-10.3969018332156,15.5030621615981
"Tyler Johnson","PG","2017-2018","MIA","3",-4.29084773284996,6.146305466011
"Tyler Lydon","F","2017-2018","DEN","R",14.8446691885225,-11.4770464178223
"Tyler Ulis","PG","2017-2018","PHO","1",-24.3278927499673,22.880923043661
"Tyler Zeller","F-C","2017-2018","BRK","5",17.6769011762071,-30.5104230692233
"Tyreke Evans","SG","2017-2018","MEM","8",-16.2000482735312,38.2755554858134
"Tyson Chandler","C","2017-2018","PHO","16",22.9318934019507,-34.2109379657514
"Tyus Jones","PG","2017-2018","MIN","2",-6.23089723398087,2.41083886115623
"Udonis Haslem","F-C","2017-2018","MIA","14",13.3254134578111,-26.1041282692139
"Vander Blue","SG","2017-2018","LAL","1",8.61982566118829,-24.6996099995039
"Victor Oladipo","SG","2017-2018","IND","4",-12.8005013427562,7.49074639027407
"Vince Carter","SF","2017-2018","SAC","19",-5.14801953022048,25.8206820533164
"Vince Hunter","F","2017-2018","MEM","R",5.21582854717153,-12.6188913592888
"Wade Baldwin","G","2017-2018","POR","1",-9.71090245214048,2.57045694062143
"Wayne Ellington","SG","2017-2018","MIA","8",-8.06912698077405,32.9854530475826
"Wayne Selden","G-F","2017-2018","MEM","1",19.8863199003128,29.4638774616966
"Wesley Iwundu","F","2017-2018","ORL","R",-1.49230759890383,-2.14023970484116
"Wesley Johnson","SF","2017-2018","LAC","7",9.81219709975751,23.773636224449
"Wesley Matthews","SG","2017-2018","DAL","8",-11.7281860378738,34.3481890818904
"Will Barton","SG","2017-2018","DEN","5",-20.1847358754919,11.2608877621489
"Willie Cauley-Stein","C","2017-2018","SAC","2",23.7834973280305,-26.2387591867596
"Willie Reed","C","2017-2018","LAC","2",18.493016595281,-30.0564496990466
"Willy Hernangomez","C","2017-2018","NYK","1",1.81920411447683,-15.2562198759273
"Wilson Chandler","SF","2017-2018","DEN","9",-6.09885477586104,15.1243398836907
"Yakuba Ouattara","SG","2017-2018","BRK","R",-14.3468064570321,-35.0141206234427
"Yogi Ferrell","SG","2017-2018","DAL","1",-14.1873838725835,16.3196281466904
"Zach Collins","C-F","2017-2018","POR","R",0.669953112460914,-23.6199189928391
"Zach LaVine","G","2017-2018","CHI","3",-13.4395140603544,27.0805577924474
"Zach Randolph","F","2017-2018","SAC","16",-8.97788537451157,-21.48264949153
"Zaza Pachulia","C","2017-2018","GSW","14",20.477928152451,-33.8159939795712
"Zhou Qi","F-C","2017-2018","HOU","R",-15.1991306071757,-34.8344493299849
